Review,Food,Service,Ambience,Price,Drinks
This huge place offers luxury dining for breakfast with excellent service to compliment the top quality food. Parking is available across the street for about $12. Highly recommended.,1,0,1,0,0
"Food was delicious and the wait staff was incredibly friendly and helpful! If you go for brunch, get the French toast and ask for it with the raspberry compote and homemade whipped cream!",1,1,0,0,0
"Good choice of food, tasty and nice place with great location, but it's always crowded and very noisy that you have to yell to everyone so they can understand you, it feels more like a market. That's not what I'm looking for in a nice and quite meal.",1,0,1,0,0
Wonderful pastries!,1,0,0,0,0
Appalling that this restaurant charges the customers an extra 4% to cover the cost of insurance for the staff.  This is unlawful!,0,0,0,1,0
"Excellent place to take visitors- it's not overly expensive, but it has the air of a grand old-school downtown restaurant. Downside is that it was built in (I think) an old bank, so it can become incredibly loud on a busy night. If you want to have a careful or quiet conversation, this is a bad choice.",0,0,1,1,0
Best pizza in town! Fantastic donuts and french fries!,1,0,0,0,0
"Great place for dessert. On the pricier side, but well worth it!",1,0,0,0,0
good desserts for special occasion,1,0,0,0,0
"I completely love eating here - brunch, lunch or dinner! The dessert options is the perfect add on! Good food, perfect presentation and style make this a fave dining experience.",1,0,0,0,0
excellent service and beautiful place,0,1,1,0,0
"Absolutely love this place. Great food, great bakery, great atmosphere.",1,0,1,0,0
"Beautiful atmosphere and the food was very good. They were accommodating when we changed our reservation a few times I would recommend the escargot and  appetizer as this were the most standout of everything we tried. All the food we tried was very good, but nothing was totally breathtaking as I usually find at nice places like this.",1,0,1,0,0
Superrr excellent service and exquisite food .. Without a doubt return to this place expetacular ..,1,1,0,0,0
Beautiful Italian restaurant in heart of downtown Los Angeles ,0,0,1,0,0
"Superb cooking, consistently excellent, in a setting that is somehow both elegant and causal. A bit pricey if you do the whole wine/food/desert thing but it's absolutely worth the splurge. They don't take reservations. Knowledgeable staff always seems to really know the menu. Good wine list. A real treat!",1,1,1,1,1
Good service. Good food. Very crowded. ,1,1,1,0,0
I love the Mac N Cheese small plate! It's about  $10 and worth the price! Great service.,1,1,0,1,0
"Pleasantly surprised by this gem in the middle of LA. The tuna tartare: so light but complex on the palette. Burrata pizza... everything it should be. Giant raviolo a good experience. Service was A+. And the dessert...order it, obviously! Macarons to go - a must.",1,1,0,0,0
"Fancy and very good restaurant with delicious italian food, great choice",1,0,1,0,0
Food was amazing,1,0,0,0,0
Steak and eggs were amazingly delicious and perfectly cooked.  Great service.,1,1,0,0,0
Way over rated. Food is weak. A handful of lettice with an once of Chicken..Wow! only $12.00. Go there for very expensive pastry...bring your own Coffee! $10 parking a block away...Wow!,1,0,0,1,0
Best pastries in Los Angeles. Known for their macarons. ,1,0,0,0,0
"Concept reminds us of Eataly in New York City - delicious high-quality food in a gorgeous setting with excellent service. Love, love, love.",1,1,1,0,0
"Great desserts. We had a snack and dessert. An interesting venue, but a bit spendy.",1,0,1,1,0
"We have been here several times and it has always been excellent
The open environment is really fantastic for groups and the service is exceptional, always on point 
I have sampled most of the menu and have yet to be disappointed 
The macaroons are amazing
Be prepared to spend some money, but as usual quality comes at a price 
Highly",1,0,1,1,0
"Being from the east coast, their pizza holds up pretty well. Mushroom fries are a hit as well as the tartufo pizza",1,0,0,0,0
"I'm a regular here as I live in downtown. The food is good, not great. The service is generally excellent and the ambiance is minimal, to a fault. The food won't let you down and you'll have an enjoyable experience but don't expect to be wowed. You'll have to deal with long waits at peak times. Marble floors, 20' ceilings and no art ",1,1,1,0,0
Nice portions for the price and location,0,0,0,1,0
"This place is amazing in every way possible :) staff, food, vibe everything A1",1,1,1,0,0
Desserts on desserts.  Great service and worth the wait.,1,1,0,0,0
Tasty treats and great brunch/lunch.a tad loud but worth it,1,0,1,0,0
Great food and even better desserts.,1,0,0,0,0
Pizza is great! The pasta is absolutely amazing and highly recommend. The service is one of a kind. You will not be disappointed visiting Bottega Louie.,1,1,0,0,0
So classy and tasty but quite expensive ,1,0,1,1,0
"Pastries are good. The restaurant is very loud. If you're looking for a place to chat avoid peak hours. Service was good, food is ok, all food lacked enough salt. 

Bruschetta, they cut the bread way too thick. Lasagna recommended.",1,1,1,0,0
"Very good, exquisite pizzas, the atmosphere ... and the attention
",1,1,1,0,0
Delicious food but there is always a long wait. But the food is usually worth the wait.,1,1,0,0,0
"Phenomenal service from Rachel, and wonderfully delicious dinner. An excellent experience overall!",0,1,0,0,0
So many desserts to choose from and they all looked so pretty!,1,0,0,0,0
Always crowded but I keep coming back. Great place to grab a bite with a few friends.,1,0,1,0,0
Superb service and food,1,1,0,0,0
"Bad service,, over price, overrated",0,1,0,1,0
"Great desserts, high energy atmosphere, very good food, noisy.",1,0,1,0,0
Good food. Fairly reasonable price. Hard to park without using valet.,1,1,0,1,0
"The staff was superb but the food was lacking.  We ordered the ravioli, avocado toast, clams linguine and the Portobello fries.  Tree only thing that we thought tasted good was the Portobello fries and the avocado toast.  However, their desserts are quite delicious.",1,1,0,0,0
"Good food,  good location,  good service,  the fries are expensive but my son loved them, so well worth it",1,1,1,1,0
The food here is absolutely amazing. I've never had a bad experience with the quality of food. But my last visit here the waitress seem to forget about my table numerous times. For that reason I have to give this a four star and not a five.,1,1,0,0,0
Worth the booji $$$,0,0,0,1,0
Expensive. Not worth it for season travelers,0,0,0,1,0
"Fun dining and great food
",1,0,1,0,0
Good service,0,1,0,0,0
"The food isn't bad, but the service is beyond clueless.",1,1,0,0,0
Excellent service! Mashed potatoes were great. Grilled shrimp was a bit overcooked. Brick chicken was awesome. Linguine and clams were delicious.,1,1,0,0,0
"I always enjoy eating here with family and friends, it is a little pricey but always filled with interesting people and a celebrity here and there. Service and staff is always good and friendly.",1,1,1,1,0
Excellent food,1,0,0,0,0
"Great food coupled with good drinks & desserts. This place has a typical LA vibe to it. They have a big dining area that is full of vibrant energy & has its own cozy spots. All in all, a great evening experience that one can't miss when they're around this place.",1,0,1,0,1
"Very good because the taste is less than expected
",1,0,0,0,0
"This place is amazing. Think Tiffany's for baked goods.  The packaging is beautiful, the pastries are beautiful.  The  dining area is very large and gets loud.  The food is good, but I would go there for the bakery.",1,0,1,0,0
"Beautiful venue, great service and cocktails but the octopus tasted like it was frozen, undercooked and super chewy. Salad was mediocre. ",1,1,1,0,1
Food was good. They go a little crazy with the olive oil on the pizza but overall still very good. I did feel like it was a longer wait than it should have given it wasn't busy at all.,1,1,0,0,0
Acoustics are loud and echo because it used to be a bank. The food is amazing here. Service is great and fast. Sunday brunch is amazing. They don't take reservations but don't let the crowd scare you. They seat people quickly and usually under the estimated time.,1,1,1,0,0
"All around AMAZING! Customer service was incredible! Food..just WOW. Price of food was perfect. You definitely get for what you pay for. No words can explain my experience, YOU MUST GO!",1,1,1,0,0
I can't help but love myself this big megalopolis of a restaurant with it's terrible Acoustics but superb small plates. It is such a scene it's just fun to be there.,1,0,1,0,0
"Great place to eat, wonderful staff and good food!",1,1,1,0,0
"Breakfast there was wonderful, the menu is pricey but is worth it as the food is fresh, and delicious. Service was friendly. The fresh market eggs were excellent! The bakery too! The place is quite loud which made it a bit hard to converse.",1,1,1,1,0
Great Italian place. Bit pricey though. ,0,0,1,1,0
Good desserts and value for food but too noisy,1,0,1,1,0
Not always the best service but the food is really good.,1,1,0,0,0
We enjoy going to Bottega Louie very much.  The pizza makes it worth our long drive.  Like they don’t take reservations.  We enjoy their cocktails & browsing the beautiful desserts while waiting.  Looking forward to new location opening soon.  We do wish it were not such a loud restaurant.,1,0,1,0,0
What a place for dessert!  Parking should be validated for couple dollar discount across the street. Good place for dating,1,0,1,1,0
"Great place, good food, just a bit too noisy.",1,0,1,0,0
"Great date spot! The food is good. The service and ambiance is great! I've been here on many occasions. It does get very busy, so I recommend making a reservation  for dinner. You can sit at the bar and have a drink while you wait for a table to open.",1,1,1,0,0
Great atmosphere and pastries.,1,0,1,0,0
"I expected a little bit better service and food. The atmosphere was alright, not the most welcoming place. The food took longer than usual.",1,1,1,0,0
"We ordered a pizza, linguini, and lots of appetizers, so that we can taste more dishes. It was all very yummy; especially the deserts.",1,0,0,0,0
"Great place to have a good time, show visiting friends, great patisserie. Expect to spend.",1,0,1,1,0
"Intriguing atmosphere, poor food. The wait staff was pleasant and Bottega Louie tries to present as high end, but the food falls flat. The pan fried noodles of my Trenne were so well done and hard, I couldn't stab it with my form and had to send the dish back. Another in my party had undercooked & hard noodles in his Carbonara. 2 in ",1,1,1,0,0
This has to be one of the best places to get pastries! It on the pricey side but well worth every penny. Definitely coming back. The service was fast considering it was super busy.,1,1,1,1,0
Upscale restaurant in the heart of downtown. Great selection of dishes and desserts with the most dedicated service.,1,1,1,1,0
"Great food, excellent service, a kitchen you can watch the action happen in. The noise level was a little crazy, but otherwise the experience was fantastic.",1,1,1,0,0
Great food but loud and busy.,1,0,1,0,0
We went after a night out in the town. We got a delicious pizza. Some macaroons and more drinks. Super cute place. I think would make a great date night place. ,1,0,1,0,1
"Spectacular location, amazing food, just a little noisy. Great cake selection.",1,0,1,0,0
"Yummy for our Tully's, great service...classic!",1,1,0,0,0
"Great food great ambiance, love this place.",1,0,1,0,0
Hostess is Great! Service was on point. The food is good below excellent. Definitely returning.,1,1,0,0,0
This was my first visit. Nice decor. I came here for the macarons but ended up having lunch because there was no wait. We ordered lobster hash and portabello fries based on recommendation from the waiter. The food was good albeit a little pricey for the portion size. Our waiter was friendly and service was quick. ,1,1,1,1,0
"Deserts are OK but the main courses are very disappointing for the high price. There're plenty of other DTLA brunch places that offer great views , atmosphere and better quality food.",1,0,1,1,0
"Bottega Louie is one of my favorite places to eat in downtown LA. Whether you are there for breakfast, lunch, dinner, or just desserts, the food is always consistently good. My favorites are the macaroons, beignets, and small plates.",1,0,1,0,0
Good quality. Price somewhat high for certain dishes,1,0,0,1,0
We arrived late lunch so we couldnt have brunch menu. It was so sad. But dinner pizza was good. And dessert especially tart was very nice!! Fresh fruit and cheese was wonderful.,1,0,0,0,0
Good atmosphere and food,1,0,1,0,0
Expensive? Moderately. Loud? Yes. Amazing staff and food? Also yes. Though maybe not the best location for lunch with your district manager...,1,1,1,1,0
Hands down one of the best atmospheres in all of Los Angeles. This restaurant is beautiful the service is always impeccable. The food is pretty good but the Ambiance is on another level. You feel like you were at one of the top restaurants in the world. Every time I go here I am blown away by the service that the waiters give they ma,1,1,1,0,0
"Nice ambience! Great drinks, variety of macaroons n pastries. Loved it!",1,0,1,0,1
I’ve only tried their desserts but I heard that their regular food choices are great but it is definitely on the pricier side,1,0,0,1,0
Quick and friendly service. Delicious food and drinks. Great place to dine and hang with friends,1,1,1,0,1
"The service is great, but the food is just mediocre and has not much to do with Italian food.",1,1,0,0,0
"Delicious food , noise place.",1,0,1,0,0
Great service.! And the souflee wow,1,1,0,0,0
"Great tasting food, awesome coffe, friendly staff. It gets crowded.",1,1,1,0,0
"This was a very interesting place. It felt like I was in a giant cafeteria with 30-40 waiters/waitresses prancing around. Very big OPEN concept and super loud. Food is pretty pricey here but it tasted fine. I liked going the one time for the experience but won't probably go back.  It's pretty much the exact opposite of an ""intimate"" ",1,1,1,1,0
Delicious desserts. Brunch was ok.,1,0,0,0,0
"Hyped up Italian food with at a high price tag but in a cool space.

I've been here twice and I was not impressed with their food - especially for the price point. It wasn't bad but it was't great either. Atmosphere is cool which is why I think a lot people have birthdays and dates here.

Dinner. My preference for pasta is al dente b",1,0,1,1,0
Great customer service. Good tasting food. Incredible loud place though,1,1,1,0,0
Excellent place to eat Italian food.,1,0,1,0,0
"I like the pizza it's super tasty. Nice place for a hang out with friends. The service was great, the server were attentive and they are all friendly.",1,1,1,0,0
Great service and good food.,1,1,0,0,0
Good deserts but very pricey,1,0,0,1,0
"Exquisite place. Friendly employees. The princess cake is a true delight for chocolate lovers. The milk chocolate mouse smoothly melts on your tongue and goes well with the dark chocolate coat. Hidden surprise on the bottom is a red velvet macaroon. The latte is deliciously milky, no need for sweetener. The pastries and coffee lives ",1,1,1,0,0
"Wonderful food, fun ambiance. Little loud",1,0,1,0,0
Great food and service,1,1,0,0,0
Too noisy and cold!,0,0,1,0,0
"Great food great desserts. The Tagliatelle was done to the perfect doneness and portion was actually pretty huge. Also got the truffle pizza which was also very good but definitely need something to balance the richness of it. Portobello fries are a no brainer. 

Dessert wise everything is good. Get a box of macarons to go :)

Parkin",1,0,0,0,0
"Great atmosphere, super friendly staff, service was precise and available. The food was phenomenal. We got the french toast and lemon risotto pancakes and they were pretty much the best I've had anywhere, and portions essentially enough for 2 meals.",1,1,1,0,0
"I havnt been there in a long time, this time service was excellent, and the food delicious. Had the butter squash soup.",1,1,0,0,0
"Great atmosphere. Casual chic vibe. The crowd it attracts is office employees, grabbing a quick lunch or a pastry dessert to go. The savory options tasted rather bland however. Not any discernable flavour. However, the restaurant is well known for its myriad of dessert choices. Service was slow at first, but we were later helped by a",1,1,1,0,0
"Phenomenal Italian and the macarons are to die for! Great service, great wine list...always a fave when I'm in LA!",1,1,0,0,1
great quality food but expensive and friendly severs,1,0,0,1,0
Amazing meal,1,0,0,0,0
Love the food!,1,0,0,0,0
Great food.  Great prices.,1,0,0,1,0
Food was awesome!!,1,0,0,0,0
Great food. Very crowded at times. But worth the wait,1,0,1,0,0
This place is awesome. People in the restaurant call you by name. Food and service are great. Just make sure you get all your carryout items. It gets crazy behind the to go counter.,1,1,1,0,0
"Place was beautiful, but the food was not worth the price, $17 of scrambled egg with smoke bacons. Toast was hard like a rock.  Scramble Egg was left out for long time before they served to me served with not crunchy but hard smoked bacon. Looked good in picture, but not taste.",1,0,1,1,0
